Item_9516_StoryDesc|时间流转，对星球初生之时的记忆，萝坦已经不大记得清了。
Item_9943_StoryDesc|噔，噔，噔。
Item_121772_Desc|在坎布里安，所有人都知道你的姓名，所有人都曾向你发出过警告。
Item_9588_StoryDesc|@1年6月5日
Item_9736_StoryDesc|「我的成名作吗？嗯——这么好奇呀，好吧好吧，毕竟是VVIP的要求。不过，普通的讲述未免太不符合我魔术大师的名号了，让我用一场盛大的表演来向你展示吧！
Item_9616_StoryDesc|A.F.@1年@1月@1日
Item_9677_StoryDesc|关于旺达的确切来历，坎布里安的乡民众说纷纭。
Item_21898_Desc|记载了珍稀命轮的神秘古籍。
Item_78774_StoryDesc|风雨交加的夜晚，神明的女儿孤独地坐在舷窗下。
Item_9693_StoryDesc|弥萨格校园中最不能招惹的人，如果朵尔自居第二，那么第一名非茜尔维娅女士莫属。
Item_94559_Desc|记录此钥令后，可在编队时选择钥令技能:「猎食决心」。
Item_35148_Desc|用于在「魔法剧本商店」中进行交换的道具。
Item_88873_StoryDesc|他们总在错误的时间与一瞬的希望擦肩而过。
Item_128659_Desc|不仅祈岁节当天，接下来的整整半个月，磐龙古国四处都会洋溢着喜悦的气氛。
Item_81756_Desc|记录此钥令后，可在编队时选择钥令技能:「不灭的雷光」
Item_35143_Desc|用于在「魔法剧本商店」中进行交换的道具。
Item_36860_Desc|记录此钥令后，可在编队时选择钥令技能:「玫瑰的胜利」。
Item_70919_Desc|记录此钥令后，可在编队时选择钥令技能:「群星的庇佑」。
Item_35147_Desc|用于在「魔法剧本商店」中进行交换的道具。
Item_51105_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_21775_Desc|它们的肉体、灵识和记忆都被封装于此，直到被唤醒的那一刻。
Item_9703_StoryDesc|A.F. 314，冬日的一个深夜，爆炸声响彻阿库特林地。
Item_88873_Desc|记录此钥令后，可在编队时选择钥令技能:「错位命运」。
Item_100577_Desc|记录此钥令后，可在编队时选择钥令技能:「美梦一刹」。
Item_10080_StoryDesc|克劳利在任教期间一直蝉联「最受欢迎导师」的荣誉称号。
Item_91121_Desc|有多少人钦佩于她当年的决断与勇气，就有多少人艳羡于那样重生的幸运。
Item_9577_StoryDesc|你第一次见到活的魔像，是在女学者的家里。
Item_97991_Desc|一个好的节日，应当是一场纵情狂欢的理由。
Item_56635_StoryDesc|她站上山峰，举起手中的黑刺。
Item_54105_StoryDesc|当一个人能够知晓全部的过去与未来，等待他的不是全知的喜悦，而是无尽的悲悯与绝望。
Item_54113_StoryDesc|人们总是喜欢以自身的尺度去规定边框、确定符号。
Item_9581_StoryDesc|母亲。母亲。
Item_77877_StoryDesc|他看见教堂的尖塔如同蜡烛般融化，滴落在神父洁白的羽翼上。彩绘玻璃上的圣徒像以极快的速度腐烂成骷髅、又在瞬间倒退成为婴孩。尖锐与圆柔的几何体从信徒的口中颂念出，堆满整个大厅。
Item_116763_Desc|对于环行·拉蒙娜而言，生命是场匆促而往复的试炼。
Item_78871_StoryDesc|从诞生起，双子就不被允许随意使用翅膀飞翔，他们背上生长的第二双手臂更像是两对展示圣子威仪的礼器，被时时刻刻规定着应有的姿态。
Item_10075_StoryDesc|医生的天职，本是治愈病人。
Item_68682_StoryDesc|在无尽的深渊中，青色王座屹立，
Item_9847_StoryDesc|重复获得艾继丝时转换获得，用于激活艾继丝的启灵。
Item_10108_Desc|王国货币的优雅代称。处处皆可获取，事事皆需使用。
Item_9921_StoryDesc|重复获得朵尔时转换获得，用于激活朵尔的启灵。
Item_81021_Desc|珈伦特制的清扫工具，无论什么东西都能丝滑地清理干净。
Item_9902_StoryDesc|重复获得奥吉尔时转换获得，用于激活奥吉尔的启灵。
Item_9901_StoryDesc|重复获得诺缔拉时转换获得，用于激活诺缔拉的启灵。
Item_10038_StoryDesc|重复获得宁菲亚时转换获得，用于激活宁菲亚的启灵。
Item_9673_StoryDesc|重复获得潘狄娅时转换获得，用于激活潘狄娅的启灵。
Item_54110_StoryDesc|重复获得哈姆林时转换获得，用于激活哈姆林的启灵。
Item_130778_Desc|小煤球，讨厌，莫丝，喜欢！小煤球，上交，奖励~
Item_9794_StoryDesc|重复获得拉蒙娜时转换获得，用于激活拉蒙娜的启灵。
Item_9765_StoryDesc|重复获得莉莉时转换获得，用于激活莉莉的启灵。
Item_9954_StoryDesc|重复获得珈伦时转换获得，用于激活珈伦的启灵。
Item_9826_StoryDesc|重复获得莱克时转换获得，用于激活莱克的启灵。
Item_94441_StoryDesc|重复获得茉夏时转换获得，用于激活茉夏的启灵。
Item_9880_StoryDesc|重复获得珊时转换获得，用于激活珊的启灵。
Item_9686_StoryDesc|重复获得凯刻斯时转换获得，用于激活凯刻斯的启灵。
Item_116527_Desc|面见圣子所必须的证明，为圣子展示你向往光明的决心吧。
Item_10024_StoryDesc|重复获得萝坦时转换获得，用于激活萝坦的启灵。
Item_54108_StoryDesc|重复获得塔薇时转换获得，用于激活塔薇的启灵。
Item_9801_StoryDesc|重复获得奥瑞塔时转换获得，用于激活奥瑞塔的启灵。
Item_9938_StoryDesc|重复获得戈利亚时转换获得，用于激活戈利亚的启灵。
Item_10034_StoryDesc|重复获得图鲁时转换获得，用于激活图鲁的启灵。
Item_10047_StoryDesc|重复获得墨菲时转换获得，用于激活墨菲的启灵。
Item_10063_StoryDesc|重复获得艾尔瓦时转换获得，用于激活艾尔瓦的启灵。
Item_130765_StoryDesc|重复获得莫丝时转换获得，用于激活莫丝的启灵。
Item_9766_StoryDesc|重复获得希洛时转换获得，用于激活希洛的启灵。
Item_9712_StoryDesc|重复获得雷娅时转换获得，用于激活雷娅的启灵。
Item_9967_StoryDesc|重复获得菲茵特时转换获得，用于激活菲茵特的启灵。
Item_9878_StoryDesc|重复获得索蕾尔时转换获得，用于激活索蕾尔的启灵。
Item_9713_StoryDesc|重复获得泰旖丝时转换获得，用于激活泰旖丝的启灵。
Item_10114_StoryDesc|重复获得「24」时转换获得，用于激活「24」的启灵。
Item_130721_Desc|朋友，喜欢，莫丝，收集！帮忙，奖励！送给朋友~
Item_9538_StoryDesc|重复获得法洛思时转换获得，用于激活法洛思的启灵。
Item_130368_StoryDesc|重复获得诺登斯时转换获得，用于激活诺登斯的启灵。
Item_99158_Desc|超越肉体，向永生进化。
Item_77858_StoryDesc|重复获得黑法老时转换获得，用于激活黑法老的启灵。
Item_9554_StoryDesc|传说中最初的魔像创造者，以血液滋养魔像。
Item_10102_StoryDesc|传说中最初的魔像创造者，以血液滋养魔像。
Item_120473_Desc|甜甜的，黏黏的。
Item_10037_Desc|封装少许银芯的礼盒。数量虽少，但也足够使用。
Item_91764_Desc|获得幻衣「淬血荣冠」后解锁。
Item_46736_Desc|「您想看什么颜色的光，我都可以闪给您看的！」
Item_10088_StoryDesc|重复获得卡茜亚时转换获得，用于激活卡茜亚的启灵。
Item_9958_StoryDesc|重复获得詹金时转换获得，用于激活詹金的启灵。
Item_10115_StoryDesc|传说中最初的魔像创造者，以血液滋养魔像。
Item_46787_Desc|「请、请小心一点，不要踩到黑池里的东西……」
Item_10103_StoryDesc|传说中最初的魔像创造者，以血液滋养魔像。
Item_9540_StoryDesc|重复获得莉兹时转换获得，用于激活莉兹的启灵。
Item_9595_StoryDesc|重复获得汀克特时转换获得，用于激活汀克特的启灵。
Item_72906_Desc|「诶？你为什么在这里？我叫你来的？哦，但你是谁啊？」
Item_77872_StoryDesc|重复获得卡拉布时转换获得，用于激活卡拉布的启灵。
Item_10035_Desc|封装足量银芯的礼盒。当心，别为它们的光芒所惑。
Item_46777_Desc|「这里也太冷了吧！喂，你，给我多拿一件大衣来！」
Item_9655_StoryDesc|传说中最初的魔像创造者，以血液滋养魔像。
Item_9813_StoryDesc|繁衍吧，繁衍吧。让流淌着母树鲜血的灵魂遍及世界。
Item_46775_Desc|「威廉学长？威廉学长！守密人又被唤醒体抓走了！」
Item_99535_Desc|套装：
Item_68855_Desc|「原来是这样，您说的有道理，我会好好想一想的。」
Item_9975_Desc|为守密人提供的每月灵啡肽补给。简单直接，即刻见效。
Item_9980_StoryDesc|传说中最初的魔像创造者，以双手杀死魔像。
Item_9627_StoryDesc|传说中最初的魔像创造者，以血液滋养魔像。
Item_9631_StoryDesc|传说中最初的魔像创造者，以双手杀死魔像。
Item_46786_Desc|「不知道为什么被路边的狗踹了一脚，呜呜……」
Item_130224_StoryDesc|重复获得沙耶时转换获得，用于激活沙耶的启灵。
Item_10074_Desc|封装适量银芯的礼盒。用以回报辛劳付出的守密人。
Item_9703_Desc|通用的伤害型，全面而综合的增强唤醒体的输出能力，
Item_9854_StoryDesc|传说中最初的魔像创造者，以双手杀死魔像。
Item_9647_StoryDesc|重复获得温柯尔时转换获得，用于激活温柯尔的启灵。
